2016-07-13 12:35:10,525 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-13 12:35:10,530 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-13 12:40:42,908 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.epam.jmp.library:library-io:0.0.1-SNAPSHOT @ D:\workspace\Eclipse\jmp\library-io\pom.xml.
2016-07-13 12:40:43,267 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-io/src/main/java
2016-07-13 12:40:43,268 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-io/src/main/resources
2016-07-13 12:40:43,269 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-io/src/test/java
2016-07-13 12:40:43,269 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-io/src/test/resources
2016-07-13 12:40:43,705 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-13 12:40:43,712 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-13 12:40:43,713 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-13 12:40:43,718 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-13 12:41:46,880 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.epam.jmp.library:library-io:0.0.1-SNAPSHOT @ D:\workspace\Eclipse\jmp\library-io\pom.xml.
2016-07-13 12:41:46,960 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-13 12:41:46,966 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-13 12:41:46,967 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-13 12:41:46,972 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-13 12:42:06,096 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-13 12:42:06,805 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.epam.jmp.library:library-core:0.0.1-SNAPSHOT @ D:\workspace\Eclipse\jmp\library-core\pom.xml.
2016-07-13 12:42:06,902 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.epam.jmp.library:library-io:0.0.1-SNAPSHOT @ D:\workspace\Eclipse\jmp\library-io\pom.xml.
2016-07-13 12:42:10,494 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-core/src/main/java
2016-07-13 12:42:10,495 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-core/src/main/resources
2016-07-13 12:42:10,495 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-core/src/test/java
2016-07-13 12:42:10,495 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-core/src/test/resources
2016-07-13 12:42:10,550 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-io/src/main/java
2016-07-13 12:42:10,550 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-io/src/main/resources
2016-07-13 12:42:10,550 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /library-io/src/test/java
2016-07-13 12:42:10,551 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /library-io/src/test/resources
2016-07-13 12:42:10,706 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-07-13 12:42:10,915 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
